"Name";"Size";"ID";"Source";"Color"
"A-mi-kuk";"H";NA;NA;NA
"Aalpamac";"H";NA;NA;NA
"Aarakocra";"M";"b605245d-c724-3fc4-166a-190519759bb9";"https://talespire.thunderstore.io/package/isopropanol/MonsterA/";"FALSE"
"Aarakocra Brave";"M";NA;NA;NA
"Aarakocra Captain";"M";NA;NA;NA
"Aarakocra Diver";"M";NA;NA;NA
"Aarakocra Gyreguard";"M";NA;NA;NA
"Aarakocra Necromancer";"M";NA;NA;NA
"Aarakocra Priest of Aerdrie";"M";NA;NA;NA
"Aarakocra Scout";"M";NA;NA;NA
"Aarakocra Sharpshooter";"M";NA;NA;NA
"Aarakocra Simulacrum";"M";NA;NA;NA
"Aarakocra Skyhunter";"M";NA;NA;NA
"Aarakocra Talon of Syranita";"M";NA;NA;NA
"Aarakocra Warrior";"M";NA;NA;NA
"Aarakocra Windcaller";"M";NA;NA;NA
"Aartuk Elder";"L";NA;NA;NA
"Aartuk Priest";"M";NA;NA;NA
"Aartuk Warrior";"M";NA;NA;NA
"Aatxe";"L";NA;NA;NA
"Aaztar-Ghola";"M";NA;NA;NA
"Abandoned dream";"M";NA;NA;NA
"Abbanith Giant";"L";NA;NA;NA
"Aberrant Spirit";"M";NA;NA;NA
"Abhorrent Overlord";"L";NA;NA;NA
"Abigor";"L";NA;NA;NA
"Abigor (Dragoon Devil)";"M";NA;NA;NA
"Abjurer";"M";NA;NA;NA
"Abjurer Wizard";"M";NA;NA;NA
"Aboleth";"L";"619d75bb-310b-2ba0-c12c-d0087d58af47";"https://talespire.thunderstore.io/package/Gonsplitters/Gonsplitters_Large_Monsters/";"TRUE"
"Aboleth Behemoth";"H";NA;NA;NA
"Aboleth Hatchling";"T";NA;NA;NA
"Aboleth Lasher";"L";NA;NA;NA
"Aboleth Mindtaker Overlord";"G";NA;NA;NA
"Aboleth Overseer";"H";NA;NA;NA
"Aboleth Slime Lord";"L";NA;NA;NA
"Aboleth Sovereign";"H";NA;NA;NA
"Aboleth Sovereign Spellcaster";"H";NA;NA;NA
"Aboleth Spawn";"M";NA;NA;NA
"Aboleth Spellcaster";"L";NA;NA;NA
"Abominable Beauty";"M";NA;NA;NA
"Abominable Yeti";"H";NA;NA;NA
"Abomination From The Deep";"M";NA;NA;NA
"Abomination Yuan-Ti";"L";NA;NA;NA
"Abyssal Chicken";"T";NA;NA;NA
"Abyssal Eviscerator";"M";NA;NA;NA
"Abyssal Giant Lizard";"L";NA;NA;NA
"Abyssal Rotfiend";"L";NA;NA;NA
"Abyssal Scavenger";"M";NA;NA;NA
"Abyssal Skulker";"S";NA;NA;NA
"Abyssal Wretch";"M";NA;NA;NA
"Abyssal Wurm";"G";NA;NA;NA
"Abyssal Zonathid";"T";NA;NA;NA
"Acanthar Urchin";"T";NA;NA;NA
"Accursed Defiler";"M";NA;NA;NA
"Acererak";"M";NA;NA;NA
"Achaierai";"L";NA;NA;NA
"Acid Ant";"S";NA;NA;NA
"Acid Shambler";"M";NA;NA;NA
"Acolyte";"M";"78af37b6-a0ad-a300-9023-b4ead9db041a";"https://talespire.thunderstore.io/package/AzureYukiPoo/AzureYukiPoo_HoardoftheDragonQueen_Pack/";"TRUE"
"Acolyte of FR";"M";NA;NA;NA
"Acolyte of Knowledge";"M";NA;NA;NA
"Acolyte of Life";"M";NA;NA;NA
"Acolyte of Light";"M";NA;NA;NA
"Acolyte of Nature";"M";NA;NA;NA
"Acolyte of Tempest";"M";NA;NA;NA
"Acolyte of Trickery";"M";NA;NA;NA
"Acolyte War Priest";"M";NA;NA;NA
"Adamantine Golem";"H";NA;NA;NA
"Adept of Orcus";"M";NA;NA;NA
"Adherer";"M";NA;NA;NA
"Adlet";"M";NA;NA;NA
"Adolescent Neothelid";"L";NA;NA;NA
"Adran Nalty";"M";NA;NA;NA
"Adult Abyssal Dragon";"H";NA;NA;NA
"Adult Amethyst Dragon";"H";NA;NA;NA
"Adult Arrowhawk";"M";NA;NA;NA
"Adult Black Dragon";"H";NA;NA;NA
"Adult Blizzard Dragon";"H";NA;NA;NA
"Adult Blue Dracolich";"H";NA;NA;NA
"Adult Blue Dragon";"H";NA;NA;NA
"Adult Boreal Dragon";"H";NA;NA;NA
"Adult Brass Dragon";"H";NA;NA;NA
"Adult Bronze Dragon";"H";NA;NA;NA
"Adult Brown Dragon";"H";NA;NA;NA
"Adult Cave Dragon";"H";NA;NA;NA
"Adult Copper Dragon";"H";NA;NA;NA
"Adult Crystal Dragon";"H";NA;NA;NA
"Adult Deep Dragon";"H";NA;NA;NA
"Adult Displacer Dragon";"H";NA;NA;NA
"Adult Dokufu";"L";NA;NA;NA
"Adult Dracolisk";"L";NA;NA;NA
"Adult Dragon Skeleton";"H";NA;NA;NA
"Adult Dragon Zombie";"H";NA;NA;NA
"Adult Dragonne";"H";NA;NA;NA
"Adult Earthquake Dragon";"H";NA;NA;NA
"Adult Emerald Dragon";"H";NA;NA;NA
"Adult Flame Dragon";"H";NA;NA;NA
"Adult Gold Dragon";"H";NA;NA;NA
"Adult Gray Dragon";"H";NA;NA;NA
"Adult Green Dragon";"H";NA;NA;NA
"Adult Green Spectral Dragon";"H";NA;NA;NA
"Adult Hellfire Wyrm";"H";NA;NA;NA
"Adult Illithidragon";"H";NA;NA;NA
"Adult Imperial Dragon";"H";NA;NA;NA
"Adult Kruthik";"M";NA;NA;NA
"Adult Leucrotta";"L";NA;NA;NA
"Adult Light Dragon";"H";NA;NA;NA
"Adult Lunar Dragon";"H";NA;NA;NA
"Adult Mithral Dragon";"H";NA;NA;NA
"Adult Moon Dragon";"H";NA;NA;NA
"Adult Moonstone Dragon";"H";NA;NA;NA
"Adult Oblex";"M";NA;NA;NA
"Adult Pink Dragon";"H";NA;NA;NA
"Adult Purple Dragon";"H";NA;NA;NA
"Adult Red Dragon";"H";NA;NA;NA
"Adult Remorhaz";"H";NA;NA;NA
"Adult Rime Worm";"L";NA;NA;NA
"Adult Sapphire Dragon";"H";NA;NA;NA
"Adult Sea Dragon";"H";NA;NA;NA
"Adult Shadow Dragon";"H";NA;NA;NA
"Adult Silver Dragon";"H";NA;NA;NA
"Adult Solar Dragon";"H";NA;NA;NA
"Adult Styx Dragon";"H";NA;NA;NA
"Adult Sun Dragon";"H";NA;NA;NA
"Adult Time Dragon";"H";NA;NA;NA
"Adult Tojanida";"M";NA;NA;NA
"Adult Topaz Dragon";"H";NA;NA;NA
"Adult Tornado Dragon";"H";NA;NA;NA
"Adult Typhoon Dragon";"H";NA;NA;NA
"Adult Void Dragon";"H";NA;NA;NA
"Adult Volcanic Dragon";"H";NA;NA;NA
"Adult Warp Dragon";"H";NA;NA;NA
"Adult Wasteland Dragon";"H";NA;NA;NA
"Adult White Dragon";"H";NA;NA;NA
"Adult Wind Dragon";"H";NA;NA;NA
"Adventuring Priest";"M";NA;NA;NA
"Aegir, Norse Avatar";"M";NA;NA;NA
"Aeorian Absorber";"L";NA;NA;NA
"Aeorian Nullifier";"L";NA;NA;NA
"Aeorian Reverser";"L";NA;NA;NA
"Aerial Servant";"M";NA;NA;NA
"Aerisi Kalinoth";"M";NA;NA;NA
"Aetherai";"L";NA;NA;NA
"Aezidion";"G";NA;NA;NA
"Agarat";"M";NA;NA;NA
"Agathion";"M";NA;NA;NA
"Agdon Longscarf";"M";NA;NA;NA
"Agile Fighter";"M";NA;NA;NA
