"Name";"ID";"Source";"Color"
"Dread Observer";"f4b2fa61-71ce-4639-bca7-2644c4ce580f";"";"TRUE"
"Igril";"263de74e-f830-43a8-8eed-ebec473af83e";"";"TRUE"
"MindCrawler";"32a95c45-7452-41fb-88b3-0eb92edfce0c";"";"TRUE"
"Slaagoth";"5a15409a-41fb-4e4c-b8ac-5782dfeb8ed1";"";"TRUE"
"WritheMind";"bfc512c8-a646-4aec-91e1-8d1c76715cd1";"";"TRUE"
"Beaver";"89afe125-360b-49b2-9b07-757fdbdcf44c";"";"TRUE"
"Boar";"5a03d546-df4a-4a7a-a3a0-82e91d5a2f67";"";"TRUE"
"Camel";"d86a1177-213b-4e0c-a963-7c69919cd340";"";"TRUE"
"Cat, Black & White";"feb9d23b-c07a-4e14-ac3b-c88a9c011ee6";"";"TRUE"
"Bear, Cave";"d58ff25c-57ca-418a-975d-a2015d9416b4";"";"TRUE"
"Chicken";"910ec555-8660-419c-bac5-5d2333b3375d";"";"TRUE"
"Cow";"89f83011-89e2-4ad0-973d-522ef4ee03c9";"";"TRUE"
"Crocodile";"28f7710e-9f79-425b-ac6e-216677454ec3";"";"TRUE"
"Elk";"4a32bbc4-f31f-4db9-b917-a211c7705e3f";"";"TRUE"
"Ferret";"2ddac550-abba-406a-bf18-7068d1dfaf9b";"";"TRUE"
"Rat, Giant";"d8c8a8e0-c452-48ad-9ecd-aba5e54cf235";"";"TRUE"
"Bat, Giant";"62fe21da-003b-4e3b-9b29-a690036b4ea2";"";"TRUE"
"Centipede, Giant";"a5dcaa95-3ada-4e0a-9c1c-3e7e8335a35f";"";"TRUE"
"Scorpion, Giant";"cbc7ecbf-5d0d-4177-9914-76ed41f4b114";"";"TRUE"
"Snake, Giant";"4579458f-77da-48cb-b626-f4e93b10062b";"";"TRUE"
"Spider, Giant";"e43b9f74-465b-4d6e-bb22-c8074fee2869";"";"TRUE"
"Toad, Giant";"2890b867-71a8-4fe9-9894-4f48fcea3f6b";"";"TRUE"
"Goat 01";"71a127d8-a437-414d-a845-a39606a8a2fa";"";"TRUE"
"Goose";"c4f92127-9c5d-476b-a08c-45d25dabe38d";"";"TRUE"
"Horse";"930b9619-5a9a-4e24-aaa2-2366c96c77d5";"";"TRUE"
"Hyena";"a0655870-9b3a-4d97-8103-501fbfee067e";"";"TRUE"
"Monkey (Snub-nosed)";"40f0564f-a411-4c23-b3cc-27eb0d5b2093";"";"TRUE"
"Mule";"83e2e8f8-e0fd-4fd6-92d8-157dc57292d0";"";"TRUE"
